dataset,backbone,phase,seed,trace_file,mse,mae,static_mse,static_mae,elf_mse,elf_mae,independent_mse,mse_vs_static_pct,mae_vs_static_pct,mse_vs_elf_pct,mae_vs_elf_pct,mse_vs_independent_pct
bdg2,dlinear,refit,1,results/tsf_edge/elf_real/real_losses_refit_bdg2_dlinear_s1.npz,0.1936807927963018,0.2823448037141445,0.2189961129917393,0.3092129231080201,0.1840154047804875,0.2660367344329237,0.1965853457092945,11.559712110685894,8.689196791587372,-5.252488522547427,-6.130006563184809,1.477502253544305
bdg2,dlinear,refit,2,results/tsf_edge/elf_real/real_losses_refit_bdg2_dlinear_s2.npz,0.1924315109224133,0.2814073170508537,0.2202234593301698,0.3118603725438192,0.1833431291738921,0.265758606508524,0.1951418022008308,12.619885498251794,9.764964764379169,-4.95703427200771,-5.888317502834206,1.3888829804022065
bdg2,patchtst,refit,0,results/tsf_edge/elf_real/real_losses_refit_bdg2_patchtst_s0.npz,0.1819472900404105,0.2800282363230282,0.2006033697453124,0.3000128517088697,0.1715608784200414,0.2612548685098514,0.1827757876745372,9.29998320994695,6.661253100328657,-6.054067638275629,-7.185844198906799,0.4532863158013045
bdg2,patchtst,refit,1,results/tsf_edge/elf_real/real_losses_refit_bdg2_patchtst_s1.npz,0.1879603928581101,0.2875929222652045,0.2115402672566757,0.319244193409723,0.1735643410005357,0.2656681205808239,0.1891490538192295,11.146754565623462,9.914439102701769,-8.294360336107287,-8.25270327371117,0.628425539075339
bdg2,patchtst,refit,2,results/tsf_edge/elf_real/real_losses_refit_bdg2_patchtst_s2.npz,0.1859157489609771,0.2840217131588963,0.2042283493221908,0.3035693631887781,0.1740971727914943,0.263628530932593,0.1878701665488299,8.966727891593385,6.43926970249824,-6.788494023183955,-7.735574808296297,1.0403022596697342
bdg2_fox,dlinear,legacy,0,results/tsf_edge/site_main96/proposed/blocks_legacy_bdg2_fox_dlinear_s0.npz,0.2087642744310804,0.2987169197747036,0.2372526588699503,0.3171059109380039,0.1759425950775218,0.2670600883223226,0.21530016979579325,12.007614403379897,5.7990061140473115,-18.654765970171727,-11.8538234789219,3.035713056293443
bdg2_fox,dlinear,refit,0,results/tsf_edge/site_main96/proposed/blocks_refit_bdg2_fox_dlinear_s0.npz,0.2092824496831106,0.2981701790019992,0.2351892860078212,0.3105632038170231,0.176374097224779,0.2663310263307556,0.21586175547909645,11.015313139667882,3.9905000536784807,-18.658268405701172,-11.954729086540095,3.0479256417531353
bdg2_fox,dlinear,legacy,1,results/tsf_edge/site_main96/proposed/blocks_legacy_bdg2_fox_dlinear_s1.npz,0.2096845266491115,0.3000555727237721,0.2381683133851615,0.3188474879185776,0.1761718198400659,0.2672872208889678,0.21653550332080315,11.959519858540768,5.893700250699263,-19.022739754558614,-12.259602881806476,3.163904563743414
bdg2_fox,dlinear,refit,1,results/tsf_edge/site_main96/proposed/blocks_refit_bdg2_fox_dlinear_s1.npz,0.2084160610613698,0.2993241960622907,0.2385137057040893,0.3185297449935427,0.1762299294383989,0.2673059550645421,0.215869907236328,12.618832345030928,6.029436570089031,-18.263714753526905,-11.978124838265458,3.4529343484629105
bdg2_fox,dlinear,legacy,2,results/tsf_edge/site_main96/proposed/blocks_legacy_bdg2_fox_dlinear_s2.npz,0.2095058336029064,0.3006221691080649,0.2393939464392653,0.3222495356018403,0.1760439831631782,0.2678524457757664,0.21644919488296574,12.484907526240042,6.711372431734819,-19.007664924686352,-12.234244580962983,3.2078480512776397
bdg2_fox,dlinear,refit,2,results/tsf_edge/site_main96/proposed/blocks_refit_bdg2_fox_dlinear_s2.npz,0.2086939153122755,0.2987083691569643,0.2363967731895128,0.3155418242591663,0.1758677574082741,0.2668853614701594,0.21538430315902912,11.718796963031597,5.334777772082622,-18.665250747353323,-11.92384906819366,3.106256003165553
